CustomerID,CustomerName,Province,Region,CustomerSegment
838250,Sally Matthias,Manitoba,Prarie,Home Office
1599613,Tom Prescott,Newfoundland,Atlantic,Small Business
1720138,Juliana Krohn,British Columbia,West,Small Business
2378178,Trudy Bell,Yukon,Yukon,Consumer
2465224,Jeremy Lonsdale,Northwest Territories,Northwest Territories,Corporate
2717381,Cindy Schnelling,Northwest Territories,Northwest Territories,Corporate
2907098,Roland Murray,Alberta,West,Home Office
3285755,Brendan Murry,British Columbia,West,Corporate
3704525,Ellis Ballard,Quebec,Quebec,Corporate
3722643,Michael Kennedy,Nova Scotia,Atlantic,Corporate
3724839,Brian Stugart,Yukon,Yukon,Corporate
3837643,Lycoris Saunders,Saskachewan,Prarie,Home Office
3863253,Steve Nguyen,Ontario,Ontario,Consumer
4035756,Philip Fox,Saskachewan,Prarie,Home Office
4036912,Evan Henry,Ontario,Ontario,Corporate
4067436,Damala Kotsonis,British Columbia,West,Corporate
4221093,Patrick Ryan,Saskachewan,Prarie,Corporate
4502342,Steve Carroll,Manitoba,Prarie,Consumer
4510648,Anne McFarland,British Columbia,West,Consumer
4514530,Tony Molinari,British Columbia,West,Corporate
4569162,Jim Kriz,Ontario,Ontario,Consumer
4926578,Michelle Tran,Quebec,Quebec,Home Office
5044115,Steve Nguyen,Ontario,Ontario,Small Business
5091209,Christina Anderson,Saskachewan,Prarie,Corporate
5130941,Clay Cheatham,Alberta,West,Small Business
5277556,Karl Brown,Nova Scotia,Atlantic,Home Office
5403622,Rose O'Brian,Alberta,West,Home Office
5417421,Doug Bickford,Northwest Territories,Northwest Territories,Small Business
5656997,Shirley Schmidt,Ontario,Ontario,Corporate
5768603,Fred McMath,Ontario,Ontario,Small Business
5890384,Liz Price,Nova Scotia,Atlantic,Consumer
5982894,Craig Yedwab,Yukon,Yukon,Corporate
6149498,Karl Brown,Nova Scotia,Atlantic,Corporate
6324861,Paul Lucas,Nova Scotia,Atlantic,Corporate
6400779,Darrin Martin,Manitoba,Prarie,Small Business
6499919,Debra Catini,British Columbia,West,Small Business
6669395,Eugene Moren,Saskachewan,Prarie,Home Office
6745542,Karen Carlisle,Yukon,Yukon,Corporate
6763230,Skye Norling,Ontario,Ontario,Home Office
6767935,Julia Dunbar,Saskachewan,Prarie,Consumer
6794165,Shirley Daniels,Quebec,Quebec,Corporate
6913864,Stuart Van,Quebec,Quebec,Consumer
6954303,Tracy Blumstein,Saskachewan,Prarie,Home Office
6982655,Bruce Stewart,Manitoba,Prarie,Corporate
7031126,Cynthia Arntzen,Saskachewan,Prarie,Small Business
7178696,Alan Hwang,Ontario,Ontario,Small Business
7191557,Charles Sheldon,Nova Scotia,Atlantic,Corporate
7210830,Cari Sayre,Alberta,West,Corporate
7345328,Tracy Collins,New Brunswick,Atlantic,Consumer
7424686,Ionia McGrath,Saskachewan,Prarie,Home Office
7432978,Dan Campbell,Nova Scotia,Atlantic,Corporate
7438025,Karl Brown,Quebec,Quebec,Home Office
7452837,Jennifer Halladay,Ontario,Ontario,Home Office
7499162,Rick Reed,Northwest Territories,Northwest Territories,Consumer
7583923,Craig Carroll,Ontario,Ontario,Small Business
7602649,Grant Carroll,Ontario,Ontario,Corporate
7834765,Lisa DeCherney,Ontario,Ontario,Corporate
7838724,Bryan Spruell,Yukon,Yukon,Home Office
7871269,Becky Castell,Ontario,Ontario,Consumer
8230900,Thais Sissman,Manitoba,Prarie,Small Business
8347794,Lisa Ryan,Alberta,West,Home Office
8361959,Keith Herrera,Quebec,Quebec,Small Business
8368712,Craig Molinari,Manitoba,Prarie,Small Business
8387950,Bobby Trafton,Nova Scotia,Atlantic,Small Business
8444931,Denise Leinenbach,Nova Scotia,Atlantic,Corporate
8480164,Julie Kriz,Manitoba,Prarie,Corporate
8520485,Doug Bickford,Ontario,Ontario,Corporate
8553190,Cynthia Delaney,Manitoba,Prarie,Corporate
8564207,Dan Campbell,Ontario,Ontario,Small Business
8636979,Liz Price,Saskachewan,Prarie,Corporate
8665453,Patrick Bzostek,Yukon,Yukon,Consumer
8807770,Frank Merwin,Alberta,West,Corporate
8881763,Noah Childs,Manitoba,Prarie,Home Office
8905627,Muhammed Yedwab,Nova Scotia,Atlantic,Consumer
8933378,Sylvia Foulston,Prince Edward Island,Atlantic,Corporate
9043071,Rick Wilson,Alberta,West,Corporate
9089368,Maris LaWare,Yukon,Yukon,Home Office
9130094,Russell Applegate,Ontario,Ontario,Home Office
9175306,Mick Hernandez,Ontario,Ontario,Home Office
9193847,Lycoris Saunders,Ontario,Ontario,Home Office
9194738,Ashley Jarboe,Saskachewan,Prarie,Home Office
9279285,Yana Sorensen,Quebec,Quebec,Corporate
9479478,Alan Hwang,New Brunswick,Atlantic,Small Business
9523535,Stewart Visinsky,Manitoba,Prarie,Corporate
9569456,Karl Brown,Yukon,Yukon,Corporate
9576347,Michael Oakman,Quebec,Quebec,Small Business
9599437,Giulietta Weimer,British Columbia,West,Corporate
