CustomerID,CustomerName,Province,Region,Segment
40732966,"Tamara Dahlen, ",N/A,Ontario,Corporate
68464052,Bill Donatelli,Ontario,Ontario,Corporate
63834266,Christy Brittain,British Columbia,West,Consumer
38512011,Barry Blumstein,British Columbia,West,Small Business
82335880,Aleksandra Gannaway,New Brunswick,Atlantic,Corporate
58046234,Paul Prost,Ontario,Ontario,Corporate
9130094,Russell Applegate,Ontario,Ontario,Home Office
60559394,Pauline Webber,Alberta,West,Consumer
21939120,Greg Guthrie,Prince Edward Island,Atlantic,Small Business
75726086,Sheri Gordon,-,Quebec,Corporate
94530777,Erin Smith,Ontario,Ontario,Home Office
21258025,"Andy,Yotov",Ontario,Ontario,Corporate
45311141,Carl Weiss,Alberta,West,Consumer
78224739,Noel Staavos,Quebec,Quebec,Home Office
30578487,Aaron Hawkins,British Columbia,West,Home Office
85111166,Annie Thurman ,Alberta,West,Consumer
79674261,Ted Trevino,Ontario,Ontario,Corporate
74639533,Tamara Chand,Ontario,Ontario,Consumer
28257713,Tom Prescott,?,West,Small Business
14649835,Fred Chung,Quebec,Quebec,Corporate
99328710,Eileen Kiefer,Ontario,Ontario,Consumer
23051437,Hilary Holden,Prince Edward Island,Atlantic,Corporate
104239922,Lynn Smith,New Brunswick,Atlantic,Corporate
44905147,Dan Reichenbach,Prince Edward Island,Atlantic,Corporate
17033987,Sonia Sunley,British Columbia,West,Corporate
8480164,Julie Kriz,Manitoba,Prarie,Corporate
84795584,Carlos Soltero,Northwest Territories,Northwest Territories,Small Business
63582475,Xylona Price,N/A,Ontario,Corporate
2717381,Cindy Schnelling,Northwest Territories,Northwest Territories,Corporate
69563791,Matthew Grinstein,Alberta,West,Small Business
87034117,Marina Lichtenstein ,British Columbia,West,Corporate
25507147,Art Ferguson,Nova Scotia,Atlantic,Corporate
47450738,Victoria Wilson,Ontario,Ontario,Home Office
16666221,Deanra Eno,Yukon,Yukon,Corporate
96327900,Jocasta Rupert,New Brunswick,Atlantic,Consumer
38344188,Kristina Nunn,British Columbia,West,Consumer
59981908,Meg O'Connel,-,Ontario,Corporate
89759693,Barry Weirich,Nunavut,Nunavut,Corporate
56764115,Jim Epp,New Brunswick,Atlantic,Small Business
44817590,Odella Nelson,Ontario,Ontario,Small Business
48076280,Trudy Brown,Saskachewan,Prarie,Small Business
80727603,Amy Hunt,Saskachewan,Prarie,Home Office
20148851,Thea Hendricks,Yukon,Yukon,Home Office
59062935,Naresj Patel,Ontario,Ontario,Corporate
40615970,Vivek Grady,Ontario,Ontario,Home Office
101078507,Neil French ,?,Prarie,Corporate
39049481,Juliana Krohn,British Columbia,West,Corporate
38038963,Greg Matthias,British Columbia,West,Home Office
60181220,Phillip Flathmann,Manitoba,Prarie,Small Business
96145776,John Huston,Saskachewan,Prarie,Consumer
92369283,Trudy Bell,Alberta,West,Consumer
39306812,Joel Jenkins,Manitoba,Prarie,Corporate
10374472,Nora Paige,Yukon,Yukon,Small Business
51874025,Eleni McCrary,Nova Scotia,Atlantic,Corporate
91811409,Ritsa Hightower,N/A,Ontario,Corporate
90514203,Edward Nazzal,Ontario,Ontario,Home Office
97428330,Harold Engle,Prince Edward Island,Atlantic,Home Office
55283064,Sarah Foster,Ontario,Ontario,Corporate
33980383,Joni Sundaresam,Ontario,Ontario,Home Office
24088027,Shahid Hopkins,British Columbia,West,Small Business
20071951,Candace McMahon ,Ontario,Ontario,Corporate
50179492,Brad Norvell,Manitoba,Prarie,Corporate
61616872,Fred McMath,Nova Scotia,Atlantic,Small Business
21703579,Henia Zydlo,-,Prarie,Home Office
28130934,Maxwell Schwartz,Saskachewan,Prarie,Corporate
66378277,Edward Becker,Ontario,Ontario,Home Office
16627071,Harold Dahlen,British Columbia,West,Corporate
102252318,Kean Nguyen,Ontario,Ontario,Corporate
30354681,Alan Barnes,Northwest Territories,Northwest Territories,Corporate
21462074,Victoria Pisteka,Alberta,West,Corporate
41989638,Victoria Pisteka,British Columbia,West,Corporate
26995184,Erica Bern,Prince Edward Island,Atlantic,Corporate
31594679,Allen Rosenblatt,?,Nunavut,Small Business
3704525,Ellis Ballard,Quebec,Quebec,Corporate
20705818,Anemone Ratner,New Brunswick,Atlantic,Small Business
81843446,John Murray ,Alberta,West,Small Business
43018738,Beth Fritzler,Saskachewan,Prarie,Small Business
108626146,Pamela Stobb,Quebec,Quebec,Consumer
98185921,Greg Hansen,Saskachewan,Prarie,Home Office
17767864,Mathew Reese,Quebec,Quebec,Small Business
21909421,Ed Braxton,Manitoba,Prarie,Home Office
26421512,Valerie Takahito,N/A,Prarie,Consumer
73966703,Linda Southworth,Manitoba,Prarie,Consumer
79755549,Toby Swindell,Saskachewan,Prarie,Small Business
9043071,Rick Wilson,Alberta,West,Corporate
60345992,Barry French,Nunavut,Nunavut,Consumer
73316576,Lindsay Shagiari,Ontario,Ontario,Home Office
95284420,Cathy Armstrong,British Columbia,West,Consumer
72906222,Tracy Hopkins,British Columbia,West,Small Business
74518551,Helen Andreada,Manitoba,Prarie,Corporate
104516246,Olvera Toch ,-,Ontario,Home Office
104598944,Paul MacIntyre,Nova Scotia,Atlantic,Corporate
101777049,Darrin Van Huff,Saskachewan,Prarie,Home Office
12392564,Troy Blackwell,Ontario,Ontario,Home Office
103724988,Brenda Bowman,Quebec,Quebec,Small Business
100099945,Ed Ludwig,Ontario,Ontario,Consumer
4221093,Patrick Ryan,Saskachewan,Prarie,Corporate
72489079,Denise Monton,Saskachewan,Prarie,Home Office
101656918,Craig Carroll,Alberta,West,Corporate
14548487,Guy Armstrong,?,Atlantic,Corporate
27242353,Carl Weiss,Saskachewan,Prarie,Consumer
31379257,Joseph Airdo,Manitoba,Prarie,Consumer
90097133,Randy Bradley,Saskachewan,Prarie,Small Business
8230900,Thais Sissman,Manitoba,Prarie,Small Business
36349541,Dorothy Wardle,Nunavut,Nunavut,Corporate
93429106,Julia West ,Northwest Territories,Northwest Territories,Small Business
19890992,Stephanie Phelps,Alberta,West,Consumer
18293658,Karen Carlisle,British Columbia,West,Home Office
60636010,Roy Phan,N/A,West,Corporate
56352213,Pauline Chand,Ontario,Ontario,Corporate
71604925,Brad Eason,Ontario,Ontario,Small Business
13884388,Thomas Boland,Ontario,Ontario,Corporate
85518221,Liz Pelletier,Saskachewan,Prarie,Home Office
77579377,Berenike Kampe,Nova Scotia,Atlantic,Corporate
72058336,Roy Skaria,British Columbia,West,Corporate
15023876,Dennis Pardue,Saskachewan,Prarie,Small Business
67135124,Pamela Coakley,Ontario,Ontario,Corporate
90365410,Arthur Gainer,-,Quebec,Corporate
100684577,Maria Zettner,Alberta,West,Corporate
20700273,Ionia McGrath,New Brunswick,Atlantic,Small Business
65938413,George Bell ,Ontario,Ontario,Corporate
51065809,Larry Tron,Alberta,West,Home Office
90627719,Gary McGarr,Manitoba,Prarie,Home Office
59440797,Nicole Brennan,Yukon,Yukon,Consumer
88815489,Luke Weiss,British Columbia,West,Corporate
79337791,Brad Thomas,Yukon,Yukon,Home Office
73805224,Chloris Kastensmidt,?,West,Consumer
38797703,Rick Wilson,Saskachewan,Prarie,Corporate
32775334,Cari MacIntyre,Ontario,Ontario,Corporate
33888882,Alice McCarthy,Alberta,West,Corporate
65676679,Ben Peterman,Quebec,Quebec,Corporate
75234630,Lisa Hazard,Alberta,West,Home Office
100100202,Brad Norvell,Nova Scotia,Atlantic,Corporate
65181272,Rob Haberlin,British Columbia,West,Corporate
66496454,Paul Knutson,Quebec,Quebec,Corporate
75322156,Anne Pryor ,N/A,Quebec,Consumer
45168399,Matt Collins,British Columbia,West,Consumer
47273840,Ralph Knight,Northwest Territories,Northwest Territories,Consumer
48760545,Cynthia Arntzen,Ontario,Ontario,Small Business
55650115,Jason Fortune,Alberta,West,Corporate
23674656,Alan Schoenberger,Ontario,Ontario,Corporate
76519514,Anemone Ratner,Ontario,Ontario,Small Business
82445538,Darren Budd,Ontario,Ontario,Home Office
95816282,Christopher Schild,Prince Edward Island,Atlantic,Corporate
36773200,Elizabeth Moffitt,-,Atlantic,Consumer
18716501,Aleksandra Gannaway,Yukon,Yukon,Corporate
64043844,Justin Hirsh,Nova Scotia,Atlantic,Consumer
76162149,Sandra Glassco,Ontario,Ontario,Home Office
23988283,Neil French,Saskachewan,Prarie,Consumer
19984778,Georgia Rosenberg,New Brunswick,Atlantic,Consumer
48698759,Allen Golden ,Ontario,Ontario,Consumer
50111887,Ruben Dartt,Alberta,West,Corporate
38984610,Ted Butterfield,Quebec,Quebec,Corporate
57347993,Todd Boyes,?,Ontario,Small Business
61555104,Jack O'Briant,Saskachewan,Prarie,Small Business
56512681,Dave Kipp,Yukon,Yukon,Consumer
75226845,Maureen Fritzler,Ontario,Ontario,Corporate
26405324,Dan Campbell,Newfoundland,Atlantic,Corporate
102101268,Valerie Takahito,Manitoba,Prarie,Consumer
74757853,Ken Dana,Alberta,West,Corporate
6794165,Shirley Daniels,Quebec,Quebec,Corporate
12671287,Darren Budd,Ontario,Ontario,Consumer
19360668,Parhena Norris,N/A,Prarie,Home Office
31028836,George Ashbrook,Ontario,Ontario,Small Business
75768983,Brian Stugart,Ontario,Ontario,Consumer
51940252,Guy Armstrong ,Manitoba,Prarie,Corporate
97257760,Alejandro Ballentine,Alberta,West,Small Business
99434135,Cindy Stewart,Yukon,Yukon,Corporate
15571411,Arianne Irving,Saskachewan,Prarie,Corporate
38191421,Neil Ducich,Manitoba,Prarie,Home Office
3285755,Brendan Murry,British Columbia,West,Corporate
94892175,Corey Lock,-,West,Home Office
98258765,Bobby Trafton,British Columbia,West,Corporate
77512636,Eric Murdock,Newfoundland,Atlantic,Home Office
84624337,Frank Atkinson,Prince Edward Island,Atlantic,Corporate
17005974,Nora Paige,Nova Scotia,Atlantic,Small Business
30521001,Anthony Rawles,British Columbia,West,Small Business
77418915,Jennifer Braxton,Prince Edward Island,Atlantic,Small Business
61746358,Pete Armstrong,Ontario,Ontario,Consumer
46998039,Thomas Brumley,British Columbia,West,Consumer
72691604,MaryBeth Skach ,?,Prarie,Home Office
69981415,Luke Schmidt,Saskachewan,Prarie,Home Office
75540073,Craig Yedwab,Nova Scotia,Atlantic,Corporate
10407796,Charles Crestani,Yukon,Yukon,Consumer
34141840,Dan Lawera,Ontario,Ontario,Corporate
