stu_id,stu_name,emp_type_id,title,birthday,home_address,postal_code,city_id,phone_num,email,active_flg
5001,Ursula Quintero,1,Dr,1986-10-05,970 Jansen St,K4H 5W3,,555-4328,student5001@example.edu,1
5002,Elena Ferreira,2,Mx,1994-08-06,340 Lindqvist St,N2A 2Y8,8,555-6883,student5002@example.edu,1
5003,Kenji Kowalski,2,Ms,1988-06-18,523 Bianchi St,V5B 7Y7,19,555-7629,student5003@example.edu,1
5004,Liam Ferreira,1,Mr,1976-02-27,852 Ahmadi St,P8E 0R5,9,555-5357,student5004@example.edu,1
5005,Lucia Gallagher,1,Mx,1977-01-02,118 Lindqvist St,L2B 9Y5,12,555-6210,student5005@example.edu,1
5006,Kenji Tanaka,1,Ms,1996-08-01,559 Petrov St,N7A 5X3,28,555-5010,student5006@example.edu,1
5007,Jonas Okonkwo,2,Dr,1983-04-10,679 Yilmaz St,V8J 4R7,26,555-2752,student5007@example.edu,1
5008,Amara Ferreira,1,Mr,2004-08-22,676 Yilmaz St,N2J 0T3,12,555-8669,student5008@example.edu,1
5009,Greta Ahmadi,2,Ms,1980-01-10,735 Rossi St,V9E 6X5,30,555-7211,student5009@example.edu,1
5010,Ines Nakamura,1,Mr,2001-03-31,744 Gallagher St,P2H 4W6,30,555-1444,student5010@example.edu,1
5011,Jonas Haddad,1,Ms,1978-06-10,571 Eriksen St,K4B 9W9,5,555-9344,student5011@example.edu,1
5012,Lucia Rossi,1,Mx,1986-08-04,915 Bianchi St,K7J 1Z1,29,555-8719,student5012@example.edu,1
5013,Viktor Nakamura,1,Ms,1984-07-04,276 Gallagher St,N8C 7Z3,2,555-6822,student5013@example.edu,1
5014,Sofia Costa,2,Mr,1976-01-04,718 Choi St,N0J 3Z9,6,555-2338,student5014@example.edu,1
5015,Nadia Delgado,3,Mr,1986-04-20,454 Okonkwo St,N7B 8X4,24,555-7050,student5015@example.edu,1
5016,Greta Haddad,1,Mr,1978-03-08,485 Lindqvist St,V9A 0Y8,22,555-7218,student5016@example.edu,1
5017,Elena Quintero,2,Ms,1982-06-10,831 Zielinski St,N9E 3X6,4,555-5324,student5017@example.edu,1
5018,Mateo Yilmaz,1,Dr,2001-09-29,943 Nakamura St,M9H 6T7,13,555-9134,student5018@example.edu,1
5019,Priya Yilmaz,3,Mr,1975-05-02,30 Bianchi St,L3J 3X0,18,555-5799,student5019@example.edu,1
5020,Zara Haddad,3,Mx,1999-07-25,835 Kowalski St,K1C 2Y7,10,555-5841,student5020@example.edu,1
5021,Nadia Okonkwo,2,Dr,2001-08-05,335 Delgado St,K9E 8Y7,12,555-7190,student5021@example.edu,1
5022,Devon Zielinski,3,Mr,1986-10-26,487 Choi St,L1C 8T0,7,555-7523,student5022@example.edu,1
5023,Farid Lindqvist,2,Ms,2000-11-16,691 Costa St,L2B 3R3,26,555-3551,student5023@example.edu,1
5024,Bruno Kowalski,1,Mr,2003-02-28,678 Rossi St,P7C 4Z9,11,555-4982,student5024@example.edu,1
5025,Hiro Zielinski,1,Mr,1987-09-05,851 Haddad St,N9C 0Z5,8,555-3058,student5025@example.edu,1
5026,Devon Varga,1,Mr,1987-12-25,468 Gallagher St,V2E 9Z1,11,555-7327,student5026@example.edu,1
5027,Dmitri Kowalski,3,Ms,1995-12-28,365 Ferreira St,K1C 7Y2,3,555-6886,student5027@example.edu,1
5028,Felix Haddad,1,Mx,1984-05-23,568 Petrov St,M7A 0T4,5,555-5332,student5028@example.edu,1
5029,Noor Zielinski,3,Ms,2002-11-04,79 Ueda St,V1A 0X9,9,555-8460,student5029@example.edu,1
5030,Gabriela Kowalski,3,Mr,1999-09-14,260 Ferreira St,V2A 9Z9,24,555-7836,student5030@example.edu,1
5031,Ursula Ueda,1,Ms,1993-06-17,169 Nakamura St,V4B 4Z6,22,555-6759,student5031@example.edu,1
